waveform	Ch0		Gen	
t0	3/17/2021  13:06:45.102783		3/17/2021  13:06:45.102785	
delta t	5.000000E-6		5.000000E-6	

time[0]	Ch0	time[1]	Gen
3/17/2021  13:06:45.103428	2.008362E+0	3/17/2021  13:06:45.103430	1.382050E+0
3/17/2021  13:06:45.103433	2.054285E+0	3/17/2021  13:06:45.103435	1.424716E+0
3/17/2021  13:06:45.103438	2.095974E+0	3/17/2021  13:06:45.103440	1.467056E+0
3/17/2021  13:06:45.103443	2.138966E+0	3/17/2021  13:06:45.103445	1.505814E+0
3/17/2021  13:06:45.103448	2.177724E+0	3/17/2021  13:06:45.103450	1.543920E+0
3/17/2021  13:06:45.103453	2.214527E+0	3/17/2021  13:06:45.103455	1.580398E+0
3/17/2021  13:06:45.103458	2.249377E+0	3/17/2021  13:06:45.103460	1.612642E+0
3/17/2021  13:06:45.103463	2.282923E+0	3/17/2021  13:06:45.103465	1.643909E+0
3/17/2021  13:06:45.103468	2.312236E+0	3/17/2021  13:06:45.103470	1.673873E+0
3/17/2021  13:06:45.103473	2.341223E+0	3/17/2021  13:06:45.103475	1.700580E+0
3/17/2021  13:06:45.103478	2.366953E+0	3/17/2021  13:06:45.103480	1.725333E+0
3/17/2021  13:06:45.103483	2.389751E+0	3/17/2021  13:06:45.103485	1.746829E+0
3/17/2021  13:06:45.103488	2.411899E+0	3/17/2021  13:06:45.103490	1.768976E+0
3/17/2021  13:06:45.103493	2.430789E+0	3/17/2021  13:06:45.103495	1.785912E+0
3/17/2021  13:06:45.103498	2.445771E+0	3/17/2021  13:06:45.103500	1.801220E+0
3/17/2021  13:06:45.103503	2.460427E+0	3/17/2021  13:06:45.103505	1.814248E+0
3/17/2021  13:06:45.103508	2.472152E+0	3/17/2021  13:06:45.103510	1.824344E+0
3/17/2021  13:06:45.103513	2.481272E+0	3/17/2021  13:06:45.103515	1.833138E+0
3/17/2021  13:06:45.103518	2.488763E+0	3/17/2021  13:06:45.103520	1.838675E+0
3/17/2021  13:06:45.103523	2.492020E+0	3/17/2021  13:06:45.103525	1.842909E+0
3/17/2021  13:06:45.103528	2.492671E+0	3/17/2021  13:06:45.103530	1.844212E+0
3/17/2021  13:06:45.103533	2.493974E+0	3/17/2021  13:06:45.103535	1.842583E+0
3/17/2021  13:06:45.103538	2.490717E+0	3/17/2021  13:06:45.103540	1.839652E+0
3/17/2021  13:06:45.103543	2.484529E+0	3/17/2021  13:06:45.103545	1.833464E+0
3/17/2021  13:06:45.103548	2.475409E+0	3/17/2021  13:06:45.103550	1.824995E+0
3/17/2021  13:06:45.103553	2.466290E+0	3/17/2021  13:06:45.103555	1.814899E+0
