waveform	Ch0	
t0	3/17/2021  12:55:17.422861	
delta t	5.000000E-6	

time[0]	Ch0
3/17/2021  12:55:17.424601	2.435674E+0
3/17/2021  12:55:17.424606	2.418087E+0
3/17/2021  12:55:17.424611	2.397894E+0
3/17/2021  12:55:17.424616	2.374444E+0
3/17/2021  12:55:17.424621	2.350017E+0
3/17/2021  12:55:17.424626	2.321681E+0
3/17/2021  12:55:17.424631	2.292043E+0
3/17/2021  12:55:17.424636	2.259799E+0
3/17/2021  12:55:17.424641	2.225927E+0
3/17/2021  12:55:17.424646	2.189123E+0
3/17/2021  12:55:17.424651	2.150365E+0
3/17/2021  12:55:17.424656	2.110630E+0
3/17/2021  12:55:17.424661	2.066010E+0
3/17/2021  12:55:17.424666	2.022041E+0
3/17/2021  12:55:17.424671	1.975467E+0
3/17/2021  12:55:17.424676	1.925635E+0
3/17/2021  12:55:17.424681	1.874175E+0
3/17/2021  12:55:17.424686	1.822064E+0
3/17/2021  12:55:17.424691	1.767999E+0
3/17/2021  12:55:17.424696	1.711653E+0
3/17/2021  12:55:17.424701	1.654331E+0
3/17/2021  12:55:17.424706	1.595055E+0
3/17/2021  12:55:17.424711	1.533824E+0
3/17/2021  12:55:17.424716	1.470313E+0
3/17/2021  12:55:17.424721	1.406477E+0
3/17/2021  12:55:17.424726	1.340361E+0
3/17/2021  12:55:17.424731	1.274570E+0
3/17/2021  12:55:17.424736	1.207151E+0
3/17/2021  12:55:17.424741	1.137778E+0
3/17/2021  12:55:17.424746	1.066777E+0
3/17/2021  12:55:17.424751	9.961006E-1
3/17/2021  12:55:17.424756	9.234705E-1
3/17/2021  12:55:17.424761	8.488863E-1
3/17/2021  12:55:17.424766	7.765819E-1
3/17/2021  12:55:17.424771	7.010205E-1
3/17/2021  12:55:17.424776	6.257849E-1
3/17/2021  12:55:17.424781	5.492465E-1
3/17/2021  12:55:17.424786	4.720566E-1
3/17/2021  12:55:17.424791	3.938897E-1
3/17/2021  12:55:17.424796	3.157228E-1
3/17/2021  12:55:17.424801	2.385330E-1
3/17/2021  12:55:17.424806	1.613432E-1
3/17/2021  12:55:17.424811	8.252490E-2
3/17/2021  12:55:17.424816	3.706605E-3
3/17/2021  12:55:17.424821	-7.511169E-2
3/17/2021  12:55:17.424826	-1.523015E-1
3/17/2021  12:55:17.424831	-2.317712E-1
3/17/2021  12:55:17.424836	-3.092867E-1
3/17/2021  12:55:17.424841	-3.871279E-1
3/17/2021  12:55:17.424846	-4.643177E-1
3/17/2021  12:55:17.424851	-5.408562E-1
3/17/2021  12:55:17.424856	-6.173946E-1
3/17/2021  12:55:17.424861	-6.939330E-1
3/17/2021  12:55:17.424866	-7.691687E-1
3/17/2021  12:55:17.424871	-8.434272E-1
3/17/2021  12:55:17.424876	-9.170344E-1
3/17/2021  12:55:17.424881	-9.886874E-1
3/17/2021  12:55:17.424886	-1.060666E+0
3/17/2021  12:55:17.424891	-1.131668E+0
3/17/2021  12:55:17.424896	-1.200064E+0
3/17/2021  12:55:17.424901	-1.269763E+0
3/17/2021  12:55:17.424906	-1.336530E+0
3/17/2021  12:55:17.424911	-1.401995E+0
3/17/2021  12:55:17.424916	-1.465180E+0
3/17/2021  12:55:17.424921	-1.529016E+0
3/17/2021  12:55:17.424926	-1.589595E+0
3/17/2021  12:55:17.424931	-1.650175E+0
3/17/2021  12:55:17.424936	-1.707823E+0
3/17/2021  12:55:17.424941	-1.765471E+0
3/17/2021  12:55:17.424946	-1.820188E+0
3/17/2021  12:55:17.424951	-1.872951E+0
3/17/2021  12:55:17.424956	-1.923433E+0
3/17/2021  12:55:17.424961	-1.973590E+0
3/17/2021  12:55:17.424966	-2.020816E+0
3/17/2021  12:55:17.424971	-2.066088E+0
3/17/2021  12:55:17.424976	-2.108428E+0
3/17/2021  12:55:17.424981	-2.150769E+0
3/17/2021  12:55:17.424986	-2.189201E+0
3/17/2021  12:55:17.424991	-2.226330E+0
3/17/2021  12:55:17.424996	-2.260854E+0
3/17/2021  12:55:17.425001	-2.292772E+0
3/17/2021  12:55:17.425006	-2.323387E+0
3/17/2021  12:55:17.425011	-2.350746E+0
3/17/2021  12:55:17.425016	-2.376150E+0
3/17/2021  12:55:17.425021	-2.400577E+0
3/17/2021  12:55:17.425026	-2.420119E+0
3/17/2021  12:55:17.425031	-2.439009E+0
3/17/2021  12:55:17.425036	-2.455945E+0
3/17/2021  12:55:17.425041	-2.467996E+0
3/17/2021  12:55:17.425046	-2.479395E+0
3/17/2021  12:55:17.425051	-2.488841E+0
3/17/2021  12:55:17.425056	-2.496006E+0
3/17/2021  12:55:17.425061	-2.499263E+0
3/17/2021  12:55:17.425066	-2.500566E+0
3/17/2021  12:55:17.425071	-2.499263E+0
3/17/2021  12:55:17.425076	-2.495354E+0
3/17/2021  12:55:17.425081	-2.489818E+0
3/17/2021  12:55:17.425086	-2.481675E+0
3/17/2021  12:55:17.425091	-2.469950E+0
3/17/2021  12:55:17.425096	-2.456597E+0
3/17/2021  12:55:17.425101	-2.441940E+0
3/17/2021  12:55:17.425106	-2.422073E+0
3/17/2021  12:55:17.425111	-2.401229E+0
3/17/2021  12:55:17.425116	-2.379081E+0
3/17/2021  12:55:17.425121	-2.354003E+0
3/17/2021  12:55:17.425126	-2.326644E+0
3/17/2021  12:55:17.425131	-2.296355E+0
3/17/2021  12:55:17.425136	-2.264111E+0
3/17/2021  12:55:17.425141	-2.229913E+0
3/17/2021  12:55:17.425146	-2.192132E+0
3/17/2021  12:55:17.425151	-2.154351E+0
3/17/2021  12:55:17.425156	-2.113965E+0
3/17/2021  12:55:17.425161	-2.071299E+0
3/17/2021  12:55:17.425166	-2.024725E+0
3/17/2021  12:55:17.425171	-1.978150E+0
3/17/2021  12:55:17.425176	-1.929296E+0
3/17/2021  12:55:17.425181	-1.878162E+0
3/17/2021  12:55:17.425186	-1.825073E+0
3/17/2021  12:55:17.425191	-1.770682E+0
3/17/2021  12:55:17.425196	-1.713360E+0
3/17/2021  12:55:17.425201	-1.657014E+0
3/17/2021  12:55:17.425206	-1.596761E+0
3/17/2021  12:55:17.425211	-1.535856E+0
3/17/2021  12:55:17.425216	-1.472345E+0
3/17/2021  12:55:17.425221	-1.407857E+0
3/17/2021  12:55:17.425226	-1.343370E+0
3/17/2021  12:55:17.425231	-1.276602E+0
3/17/2021  12:55:17.425236	-1.207880E+0
3/17/2021  12:55:17.425241	-1.138507E+0
3/17/2021  12:55:17.425246	-1.068483E+0
3/17/2021  12:55:17.425251	-9.971555E-1
3/17/2021  12:55:17.425256	-9.245254E-1
3/17/2021  12:55:17.425261	-8.509182E-1
3/17/2021  12:55:17.425266	-7.763340E-1
3/17/2021  12:55:17.425271	-7.027268E-1
3/17/2021  12:55:17.425276	-6.255370E-1
3/17/2021  12:55:17.425281	-5.496499E-1
3/17/2021  12:55:17.425286	-4.721344E-1
3/17/2021  12:55:17.425291	-3.959217E-1
3/17/2021  12:55:17.425296	-3.180805E-1
3/17/2021  12:55:17.425301	-2.405650E-1
3/17/2021  12:55:17.425306	-1.610953E-1
3/17/2021  12:55:17.425311	-8.292838E-2
3/17/2021  12:55:17.425316	-5.087172E-3
